OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel,Timepoint,Frequency
2,-31,-46,100,1,10000hz
3,-22,-22,85,1,10000hz
4,-24,-28,85,1,10000hz
5,-21,-29,80,1,10000hz
6,-3,-5,70,1,10000hz
7,35,105,70,1,10000hz
2,-33,-49,100,2,10000hz
3,-33,-33,85,2,10000hz
4,-28,-33,85,2,10000hz
5,-15,-21,80,2,10000hz
6,-3,-5,70,2,10000hz
7,33,99,70,2,10000hz
2,-28,-42,100,3,10000hz
3,-35,-35,85,3,10000hz
4,-28,-33,85,3,10000hz
5,-18,-25,80,3,10000hz
6,-2,-3,70,3,10000hz
7,34,102,70,3,10000hz
2,-29,-43,100,4,10000hz
3,-28,-28,85,4,10000hz
4,-28,-33,85,4,10000hz
5,-16,-22,80,4,10000hz
6,-4,-6,70,4,10000hz
7,36,108,70,4,10000hz
2,-28,-42,100,5,10000hz
3,-20,-20,85,5,10000hz
4,-32,-38,85,5,10000hz
5,-20,-28,80,5,10000hz
6,-1,-1,70,5,10000hz
7,36,108,70,5,10000hz
2,-35,-52,100,6,10000hz
3,-27,-27,85,6,10000hz
4,-29,-34,85,6,10000hz
5,-18,-25,80,6,10000hz
6,-1,-1,70,6,10000hz
7,37,111,70,6,10000hz
2,-22,-33,100,7,10000hz
3,-34,-34,85,7,10000hz
4,-28,-33,85,7,10000hz
5,-20,-28,80,7,10000hz
6,1,1,70,7,10000hz
7,37,111,70,7,10000hz
2,-26,-39,100,8,10000hz
3,-30,-30,85,8,10000hz
4,-26,-31,85,8,10000hz
5,-20,-28,80,8,10000hz
6,-1,-1,70,8,10000hz
7,36,108,70,8,10000hz
2,-26,-39,100,9,10000hz
3,-27,-27,85,9,10000hz
4,-28,-33,85,9,10000hz
5,-18,-25,80,9,10000hz
6,-1,-1,70,9,10000hz
7,37,111,70,9,10000hz
2,-26,-39,100,10,10000hz
3,-27,-27,85,10,10000hz
4,-25,-30,85,10,10000hz
5,-19,-26,80,10,10000hz
6,-5,-8,70,10,10000hz
7,35,105,70,10,10000hz
2,-29,-43,100,11,10000hz
3,-20,-20,85,11,10000hz
4,-26,-31,85,11,10000hz
5,-19,-26,80,11,10000hz
6,-2,-3,70,11,10000hz
7,34,102,70,11,10000hz
2,-27,-40,100,12,10000hz
3,-26,-26,85,12,10000hz
4,-26,-31,85,12,10000hz
5,-20,-28,80,12,10000hz
